staters,total_deaths,total_pop,male_deaths,female_deaths,pop_male,pop_female,male_white_deaths,female_white_deaths,female_black_deaths,male_black_deaths,pop_male_white,pop_male_black,pop_female_white,pop_female_black,male_white_20s_deaths,male_white_30s_deaths,male_white_40s_deaths,male_white_50s_deaths,male_white_60s_deaths,male_white_70s_deaths,male_white_80s_deaths,male_white_90s_deaths,female_white_20s_deaths,female_white_30s_deaths,female_white_40s_deaths,female_white_50s_deaths,female_white_60s_deaths,female_white_70s_deaths,female_black_30s_deaths,female_black_50s_deaths,male_black_20s_deaths,male_black_30s_deaths,male_black_40s_deaths,male_black_50s_deaths,male_black_60s_deaths,male_black_70s_deaths,male_black_80s_deaths,male_black_90s_deaths,female_white_80s_deaths,female_white_90s_deaths,female_black_20s_deaths,female_black_40s_deaths,female_black_60s_deaths,female_black_70s_deaths,female_black_80s_deaths,female_black_90s_deaths,pop_male_white_20s,pop_male_white_30s,pop_male_white_40s,pop_male_white_50s,pop_male_white_60s,pop_male_white_70s,pop_male_white_80s,pop_male_black_20s,pop_male_black_30s,pop_male_black_40s,pop_male_black_50s,pop_male_black_60s,pop_male_black_70s,pop_male_black_80s,pop_female_white_20s,pop_female_white_30s,pop_female_white_40s,pop_female_white_50s,pop_female_white_60s,pop_female_white_70s,pop_female_white_80s,pop_female_black_20s,pop_female_black_30s,pop_female_black_40s,pop_female_black_50s,pop_female_black_60s,pop_female_black_70s,pop_female_black_80s,male_white_below_40_deaths,male_white_over_40_deaths,female_white_below_40_deaths,female_white_over_40_deaths,female_black_below_40_deaths,female_black_over_40_deaths,male_black_below_40_deaths,male_black_over_40_deaths,pop_male_white_below_40,pop_male_white_over_40,pop_male_black_below_40,pop_male_black_over_40,pop_female_white_below_40,pop_female_white_over_40,pop_female_black_below_40,pop_female_black_over_40,year,employment,real_gdp,personal_income,st,sen_dem_majority,hs_dem_majority,sen_rep_majority,hs_rep_majority
AK,117,166349.0,76.0,41.0,95533.0,70816.0,76.0,39.0,2.0,0.0,79879.0,3561.0,57769.0,1761.0,2.0,1.0,13.0,17.0,20.0,16.0,6.0,1.0,1.0,3.0,10.0,15.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31960.0,19010.0,14925.0,9264.0,3504.0,866.0,350.0,2016.0,833.0,389.0,206.0,85.0,6.0,26.0,19879.0,15284.0,11892.0,7077.0,2623.0,722.0,292.0,688.0,552.0,294.0,142.0,65.0,11.0,9.0,3.0,73.0,4.0,35.0,1.0,1.0,0.0,0.0,65895.0,13984.0,3238.0,323.0,47055.0,10714.0,1534.0,227.0,1969,143816.0,2073.0,5288.0,AK,0.0,1.0,1.0,0.0
AL,4833,2048938.0,2659.0,2174.0,955503.0,1093435.0,1974.0,1552.0,622.0,685.0,750045.0,203859.0,832314.0,259303.0,27.0,39.0,148.0,368.0,636.0,515.0,218.0,23.0,22.0,46.0,142.0,318.0,388.0,398.0,20.0,138.0,7.0,10.0,47.0,149.0,229.0,173.0,64.0,6.0,213.0,25.0,9.0,88.0,192.0,121.0,49.0,5.0,182319.0,144542.0,148871.0,127191.0,88762.0,42995.0,15365.0,45916.0,33826.0,36456.0,36182.0,30500.0,15081.0,5898.0,190444.0,151618.0,157581.0,137919.0,107426.0,61940.0,25386.0,55096.0,44682.0,47890.0,44217.0,38767.0,19983.0,8668.0,66.0,1908.0,68.0,1484.0,29.0,593.0,17.0,668.0,475732.0,274313.0,116198.0,87661.0,499643.0,332671.0,147668.0,111635.0,1969,1411234.0,11866.0,2827.0,AL,1.0,1.0,0.0,0.0
AR,3196,1175613.0,1824.0,1372.0,553223.0,622390.0,1514.0,1131.0,241.0,310.0,471816.0,80350.0,522387.0,98718.0,17.0,19.0,94.0,297.0,446.0,434.0,187.0,20.0,18.0,18.0,101.0,195.0,293.0,286.0,8.0,63.0,1.0,4.0,9.0,64.0,95.0,97.0,35.0,5.0,192.0,28.0,3.0,20.0,64.0,61.0,19.0,3.0,102004.0,79967.0,85169.0,83279.0,68205.0,38763.0,14429.0,16133.0,11108.0,12383.0,14059.0,14098.0,8953.0,3616.0,109333.0,85009.0,91361.0,89552.0,79038.0,47823.0,20271.0,19013.0,14786.0,16754.0,17058.0,16958.0,9958.0,4191.0,36.0,1478.0,36.0,1095.0,11.0,230.0,5.0,305.0,267140.0,204676.0,39624.0,40726.0,285703.0,236684.0,50553.0,48165.0,1969,799917.0,6232.0,2681.0,AR,1.0,1.0,0.0,0.0
AZ,2222,1011213.0,1296.0,926.0,486120.0,525093.0,1250.0,903.0,23.0,46.0,451111.0,13037.0,488295.0,13083.0,13.0,32.0,81.0,223.0,363.0,391.0,132.0,15.0,11.0,31.0,99.0,169.0,233.0,238.0,0.0,8.0,1.0,0.0,3.0,9.0,13.0,16.0,3.0,1.0,105.0,17.0,0.0,1.0,5.0,5.0,4.0,0.0,108679.0,84936.0,87922.0,73429.0,55570.0,31931.0,8644.0,3570.0,2749.0,2200.0,1962.0,1571.0,715.0,270.0,112734.0,88709.0,94896.0,80172.0,63874.0,36045.0,11865.0,3237.0,2826.0,2485.0,2054.0,1468.0,740.0,273.0,45.0,1205.0,42.0,861.0,0.0,23.0,1.0,45.0,281537.0,169574.0,8519.0,4518.0,296339.0,191956.0,8548.0,4535.0,1969,711344.0,7563.0,3633.0,AZ,0.0,0.0,1.0,1.0
CA,28413,12395330.0,15149.0,13264.0,5965806.0,6429524.0,14276.0,12581.0,683.0,873.0,5409871.0,357114.0,5841456.0,393646.0,183.0,293.0,959.0,2556.0,4205.0,4069.0,1825.0,186.0,127.0,340.0,1227.0,2457.0,2999.0,3259.0,51.0,173.0,13.0,23.0,112.0,236.0,245.0,170.0,65.0,9.0,1920.0,252.0,13.0,100.0,165.0,120.0,56.0,5.0,1378000.0,1043396.0,1096916.0,890079.0,577964.0,312703.0,110813.0,103409.0,85451.0,72432.0,51917.0,29000.0,11252.0,3653.0,1382776.0,1028177.0,1146159.0,940608.0,686058.0,457740.0,199938.0,112651.0,89243.0,78158.0,57076.0,35144.0,15596.0,5778.0,476.0,13800.0,467.0,12114.0,64.0,619.0,36.0,837.0,3518312.0,1891559.0,261292.0,95822.0,3557112.0,2284344.0,280052.0,113594.0,1969,9032738.0,106629.0,4676.0,CA,0.0,0.0,1.0,1.0
CO,2562,1300993.0,1339.0,1223.0,626965.0,674028.0,1311.0,1192.0,31.0,28.0,603768.0,17550.0,651022.0,16784.0,17.0,32.0,88.0,206.0,353.0,395.0,194.0,26.0,10.0,32.0,106.0,226.0,254.0,313.0,1.0,2.0,1.0,0.0,2.0,4.0,7.0,9.0,4.0,1.0,204.0,47.0,1.0,6.0,6.0,13.0,2.0,0.0,158767.0,119091.0,118794.0,94433.0,63020.0,35499.0,14164.0,6605.0,4049.0,3098.0,1932.0,1106.0,534.0,226.0,163212.0,122336.0,124321.0,98182.0,71882.0,48617.0,22472.0,4840.0,4098.0,3232.0,2102.0,1373.0,801.0,338.0,49.0,1262.0,42.0,1150.0,2.0,29.0,1.0,27.0,396652.0,207116.0,13752.0,3798.0,409869.0,241153.0,12170.0,4614.0,1969,1001380.0,9480.0,3861.0,CO,0.0,0.0,1.0,1.0
CT,5065,1891532.0,2759.0,2306.0,891969.0,999563.0,2662.0,2227.0,79.0,97.0,846629.0,42131.0,945199.0,51242.0,26.0,49.0,168.0,460.0,751.0,822.0,354.0,32.0,23.0,51.0,197.0,426.0,542.0,562.0,5.0,26.0,0.0,2.0,15.0,20.0,33.0,20.0,7.0,0.0,380.0,46.0,3.0,12.0,18.0,9.0,3.0,3.0,188670.0,151895.0,180271.0,158538.0,95775.0,53033.0,18447.0,13293.0,10286.0,8703.0,5354.0,2900.0,1196.0,399.0,203873.0,156854.0,190176.0,167972.0,115144.0,78443.0,32737.0,17062.0,12223.0,9640.0,6195.0,3796.0,1636.0,690.0,75.0,2587.0,74.0,2153.0,8.0,71.0,2.0,95.0,520836.0,325793.0,32282.0,9849.0,550903.0,394296.0,38925.0,12317.0,1969,1417073.0,15627.0,4898.0,CT,1.0,1.0,0.0,0.0
DC,1452,501800.0,791.0,661.0,225684.0,276116.0,277.0,293.0,368.0,514.0,78130.0,144942.0,98693.0,174727.0,1.0,1.0,15.0,36.0,78.0,100.0,40.0,6.0,2.0,2.0,22.0,39.0,87.0,82.0,28.0,96.0,3.0,12.0,64.0,147.0,167.0,90.0,29.0,2.0,53.0,6.0,6.0,56.0,89.0,50.0,36.0,7.0,22284.0,11791.0,10822.0,12422.0,11445.0,7017.0,2349.0,42493.0,31554.0,29346.0,22456.0,12628.0,5008.0,1457.0,23294.0,9669.0,12479.0,16841.0,17655.0,13145.0,5610.0,53536.0,35356.0,33974.0,26306.0,15756.0,7067.0,2732.0,2.0,275.0,4.0,289.0,34.0,334.0,15.0,499.0,44897.0,33233.0,103393.0,41549.0,45442.0,53251.0,122866.0,51861.0,1969,676177.0,8096.0,4888.0,,,,,
DE,790,322901.0,438.0,352.0,153433.0,169468.0,361.0,306.0,46.0,77.0,134208.0,18510.0,147559.0,21165.0,3.0,7.0,24.0,74.0,110.0,95.0,46.0,2.0,3.0,7.0,30.0,59.0,93.0,65.0,2.0,11.0,3.0,1.0,9.0,23.0,21.0,16.0,3.0,1.0,36.0,13.0,1.0,7.0,14.0,6.0,5.0,0.0,32372.0,27333.0,28537.0,22787.0,13589.0,7187.0,2403.0,4705.0,3869.0,3724.0,3010.0,1949.0,939.0,314.0,34930.0,27365.0,30023.0,23644.0,16267.0,10741.0,4589.0,5705.0,4443.0,4171.0,3137.0,2175.0,1121.0,413.0,10.0,351.0,10.0,296.0,3.0,43.0,4.0,73.0,88242.0,45966.0,12298.0,6212.0,92318.0,55241.0,14319.0,6846.0,1969,270578.0,3069.0,4529.0,DE,0.0,0.0,1.0,1.0
FL,12749,4279019.0,7416.0,5333.0,2005233.0,2273786.0,6627.0,4784.0,549.0,789.0,1754814.0,243987.0,1981141.0,285789.0,47.0,83.0,330.0,947.0,1949.0,2278.0,901.0,92.0,39.0,102.0,382.0,880.0,1324.0,1336.0,35.0,151.0,6.0,10.0,92.0,201.0,274.0,154.0,44.0,8.0,638.0,83.0,13.0,96.0,152.0,78.0,22.0,2.0,346848.0,281649.0,321649.0,277445.0,271561.0,200077.0,55585.0,60476.0,52364.0,46843.0,40205.0,28825.0,11364.0,3910.0,359636.0,296828.0,352760.0,326131.0,347093.0,226736.0,71957.0,71862.0,61080.0,54525.0,45062.0,33315.0,14437.0,5508.0,130.0,6497.0,141.0,4643.0,48.0,501.0,16.0,773.0,950146.0,804668.0,159683.0,84304.0,1009224.0,971917.0,187467.0,98322.0,1969,2856879.0,27427.0,3789.0,FL,1.0,1.0,0.0,0.0
