"SA25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States",158481200,161531300,165370800,165519200,165159100,166026500,169036700,172557400,176123600,179885700,179639900,174233700,173034700,176278700,179081700,182390100,185798800
"01000","Alabama",2362266,2379715,2394986,2379379,2369643,2377513,2436584,2498601,2556073,2615562,2595296,2494664,2468807,2500966,2512680,2532491,2559746
"02000","Alaska",383301,382127,390155,394801,402575,405996,414956,422749,431661,440243,444239,443652,444061,450594,459331,461701,465130
"04000","Arizona",2619485,2700580,2808572,2840781,2861339,2934459,3063915,3238928,3401000,3494178,3434174,3264077,3208325,3268482,3322733,3398932,3461581
"05000","Arkansas",1444314,1461215,1483356,1484324,1479954,1482748,1504596,1535522,1569147,1586378,1583371,1549414,1544100,1564407,1567455,1570635,1588025
"06000","California",18450214,18888132,19280922,19411367,19437490,19573490,19876899,20255748,20644868,21040405,20818920,20038208,19803742,20172087,20850443,21496020,22040057
"08000","Colorado",2734774,2811556,2924168,2949392,2922561,2914219,2964448,3040896,3112200,3220435,3255874,3171779,3142160,3203580,3260210,3353830,3452307
"09000","Connecticut",2033712,2065991,2109954,2113713,2107077,2102746,2130254,2159357,2192075,2238029,2250277,2192926,2162120,2196944,2212158,2234510,2256250
"10000","Delaware",477261,489632,500675,501186,499288,502950,516324,526825,535976,544398,544533,525835,520973,529160,532515,543059,554383
"11000","District of Columbia",697888,711756,734613,740575,756799,753099,763498,769839,779372,790525,797335,799704,809387,827116,834614,848478,858685
"12000","Florida",8329429,8600322,8918234,8988214,9108523,9330681,9714142,10140035,10471146,10626395,10357490,9937794,9877353,10116944,10324695,10617541,10911330
"13000","Georgia",4611642,4737484,4873213,4890069,4878744,4917237,5055666,5226400,5383697,5522388,5484070,5282997,5234045,5350133,5404411,5515934,5656586
