var,coef,stderr,pval,N,lhs,specification,r2
"male_white_mortality:mand_n_rec",.0637213,.0252724,.0116895,1804,"male_white",8,
"male_white_mortality:mand_n_rec",.0407289,.0188833,.0310159,1768,"male_white",7,
"male_white_mortality:mand_n_rec",.0867455,.0275231,.001623,1804,"male_white",6,
"male_white_mortality:mand_n_rec",.0679062,.0272765,.0127906,1804,"male_white",5,
"mand_n_rec",84.4786,34.66425,.0184088,1804,"male_white",4,.8563067
"mand_n_rec",51.5803,26.27153,.0552934,1768,"male_white",3,.8886184
"mand_n_rec",119.9439,39.30554,.0036388,1804,"male_white",2,.3206697
"mand_n_rec",96.80098,38.74362,.0158041,1804,"male_white",1,.1473621
"female_white_mortality:mand_n_rec",.0639197,.0255562,.0123793,1804,"female_white",8,
"female_white_mortality:mand_n_rec",.0397094,.0185751,.0325349,1768,"female_white",7,
"female_white_mortality:mand_n_rec",.0569256,.0327059,.0817664,1804,"female_white",6,
"female_white_mortality:mand_n_rec",.0499661,.0313389,.1108517,1804,"female_white",5,
"mand_n_rec",70.60587,28.69406,.0173661,1804,"female_white",4,.819231
"mand_n_rec",43.58909,20.86786,.0419411,1768,"female_white",3,.8899344
"mand_n_rec",62.6859,35.3966,.0826631,1804,"female_white",2,.050845
"mand_n_rec",55.2887,34.22798,.1125377,1804,"female_white",1,.0248904
"male_black_mortality:mand_n_rec",.0136997,.0292346,.6393471,1804,"male_black",8,
"male_black_mortality:mand_n_rec",.0118097,.0303181,.6968856,1768,"male_black",7,
"male_black_mortality:mand_n_rec",.2443007,.0824676,.0030527,1804,"male_black",6,
"male_black_mortality:mand_n_rec",.2077843,.0812488,.0105463,1804,"male_black",5,
"mand_n_rec",13.84545,47.00097,.7695358,1804,"male_black",4,.8973537
"mand_n_rec",12.38593,47.2898,.7944846,1768,"male_black",3,.8963897
"mand_n_rec",354.7363,106.2925,.0016023,1804,"male_black",2,.2174381
"mand_n_rec",312.1661,102.411,.0036737,1804,"male_black",1,.1386847
"female_black_mortality:mand_n_rec",.0859323,.0380042,.0237515,1804,"female_black",8,
"female_black_mortality:mand_n_rec",.0898674,.0386075,.0199269,1768,"female_black",7,
"female_black_mortality:mand_n_rec",.2077758,.0675985,.0021144,1804,"female_black",6,
"female_black_mortality:mand_n_rec",.1878396,.0684039,.006032,1804,"female_black",5,
"mand_n_rec",72.03738,37.48438,.0603396,1804,"female_black",4,.8024554
"mand_n_rec",75.75668,38.15488,.0526994,1768,"female_black",3,.8011116
"mand_n_rec",214.4854,61.43596,.0010146,1804,"female_black",2,.1216138
"mand_n_rec",196.7024,62.03637,.0025969,1804,"female_black",1,.0744028
