var,coef,stderr,pval,N,lhs,specification,r2
"male_white_mortality:lag_mand_n_rec_00",-.0014568,.0052404,.7810126,1451,"male_white",7,
"male_white_mortality:lag_mand_n_rec_01",-.0054694,.006279,.3837253,1451,"male_white",7,
"male_white_mortality:lag_mand_n_rec_02",-.0030103,.0073224,.6809904,1451,"male_white",7,
"male_white_mortality:lag_mand_n_rec_03",-.000911,.0067867,.893218,1451,"male_white",7,
"male_white_mortality:lag_mand_n_rec_04",-.0004995,.0063126,.936934,1451,"male_white",7,
"male_white_mortality:lag_mand_n_rec_05",.0048797,.0073295,.5055621,1451,"male_white",7,
"male_white_mortality:lag_mand_n_rec_LT",-.0015717,.0099263,.8741946,1451,"male_white",7,
"male_white_mortality:lag_mand_n_rec_00",-.0040148,.0095451,.6740385,1481,"male_white",6,
"male_white_mortality:lag_mand_n_rec_01",-.0075975,.0099177,.443647,1481,"male_white",6,
"male_white_mortality:lag_mand_n_rec_02",-.008536,.0115951,.4616247,1481,"male_white",6,
"male_white_mortality:lag_mand_n_rec_03",-.0044796,.0120352,.7097408,1481,"male_white",6,
"male_white_mortality:lag_mand_n_rec_04",-.0068439,.0128569,.594508,1481,"male_white",6,
"male_white_mortality:lag_mand_n_rec_05",-.0044147,.0151471,.7707053,1481,"male_white",6,
"male_white_mortality:lag_mand_n_rec_LT",-.0156498,.0203186,.4411686,1481,"male_white",6,
"lag_mand_n_rec_00",-3.00524,7.056712,.6720676,1451,"male_white",5,.9817638
"lag_mand_n_rec_01",-8.354164,8.454342,.3279334,1451,"male_white",5,.9817638
"lag_mand_n_rec_02",-5.311125,10.08342,.6007653,1451,"male_white",5,.9817638
"lag_mand_n_rec_03",-2.966585,9.228104,.7492194,1451,"male_white",5,.9817638
"lag_mand_n_rec_04",-1.888487,8.641614,.8279207,1451,"male_white",5,.9817638
"lag_mand_n_rec_05",4.463945,9.727448,.6483337,1451,"male_white",5,.9817638
"lag_mand_n_rec_LT",-3.163617,13.55878,.8164802,1451,"male_white",5,.9817638
"lag_mand_n_rec_00",.7805656,7.971861,.9223912,1481,"male_white",4,.9799312
"lag_mand_n_rec_01",-2.583195,10.2232,.8015518,1481,"male_white",4,.9799312
"lag_mand_n_rec_02",-2.381791,10.22637,.8167846,1481,"male_white",4,.9799312
"lag_mand_n_rec_03",3.593542,11.06874,.7467952,1481,"male_white",4,.9799312
"lag_mand_n_rec_04",1.87339,9.144775,.8385139,1481,"male_white",4,.9799312
"lag_mand_n_rec_05",4.998401,9.767954,.6111037,1481,"male_white",4,.9799312
"lag_mand_n_rec_LT",-4.67359,13.90111,.738125,1481,"male_white",4,.9799312
"lag_mand_n_rec_00",2.895031,11.20376,.797182,1451,"male_white",3,.9431879
"lag_mand_n_rec_01",-1.880892,12.14855,.8775957,1451,"male_white",3,.9431879
"lag_mand_n_rec_02",.4397054,12.92253,.9729944,1451,"male_white",3,.9431879
"lag_mand_n_rec_03",3.011845,14.07083,.8313972,1451,"male_white",3,.9431879
"lag_mand_n_rec_04",4.26445,14.80313,.7745025,1451,"male_white",3,.9431879
"lag_mand_n_rec_05",10.74054,16.63684,.5215582,1451,"male_white",3,.9431879
"lag_mand_n_rec_LT",-3.873069,23.40837,.8692654,1451,"male_white",3,.9431879
"lag_mand_n_rec_00",2.370581,11.5713,.8385075,1481,"male_white",2,.9356108
